a,b,c
0.337,0.663,0.0
0.162,0.658,0.18
0.18,0.735,0.086
0.153,0.67,0.177
0.0,0.912,0.088
0.184,0.816,0.0
0.036,0.818,0.147
0.036,0.818,0.147
0.0,1.0,0.0
0.0,0.826,0.174
0.036,0.818,0.147
0.066,0.934,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.066,0.934,0.0
0.217,0.723,0.06
0.0,0.646,0.354
0.0,1.0,0.0
0.153,0.67,0.177
0.357,0.388,0.256
0.0,0.823,0.177
0.153,0.67,0.177
0.0,1.0,0.0
0.0,0.646,0.354
0.184,0.816,0.0
0.0,1.0,0.0
0.094,0.725,0.181
0.337,0.663,0.0
0.075,0.703,0.222
0.0,0.823,0.177
0.036,0.818,0.147
0.167,0.833,0.0
0.0,0.918,0.082
0.0,1.0,0.0
0.0,1.0,0.0
0.036,0.818,0.147
0.142,0.858,0.0
0.065,0.935,0.0
0.0,0.823,0.177
0.036,0.818,0.147
0.095,0.905,0.0
0.168,0.779,0.053
0.0,0.838,0.162
0.0,1.0,0.0
0.0,0.896,0.104
0.147,0.853,0.0
0.0,0.827,0.173
0.0,1.0,0.0
0.106,0.833,0.061
0.0,1.0,0.0
0.0,1.0,0.0
0.141,0.751,0.108
0.106,0.833,0.061
0.0,0.823,0.177
0.157,0.679,0.163
0.0,1.0,0.0
0.153,0.67,0.177
0.157,0.679,0.163
0.0,0.823,0.177
0.162,0.658,0.18
0.184,0.816,0.0
0.184,0.816,0.0
0.336,0.664,0.0
0.0,0.836,0.164
0.0,1.0,0.0
0.0,0.913,0.087
0.0,1.0,0.0
0.12,0.88,0.0
0.0,1.0,0.0
0.106,0.833,0.061
0.0,1.0,0.0
0.175,0.758,0.067
0.0,1.0,0.0
0.0,1.0,0.0
0.036,0.818,0.147
0.236,0.764,0.0
0.045,0.887,0.068
0.036,0.818,0.147
0.0,1.0,0.0
0.0,0.823,0.177
0.036,0.818,0.147
0.0,0.81,0.19
0.036,0.818,0.147
0.186,0.814,0.0
0.056,0.693,0.251
0.0,1.0,0.0
0.144,0.856,0.0
0.0,1.0,0.0
0.153,0.67,0.177
0.0,1.0,0.0
0.0,0.951,0.049
0.186,0.814,0.0
0.206,0.794,0.0
0.036,0.818,0.147
0.0,1.0,0.0
0.231,0.769,0.0
0.448,0.303,0.249
0.0,1.0,0.0
0.0,0.823,0.177
0.0,0.823,0.177
0.0,1.0,0.0
0.0,0.902,0.098
0.157,0.679,0.163
0.0,0.765,0.235
0.157,0.679,0.163
0.0,1.0,0.0
0.134,0.866,0.0
0.0,0.823,0.177
0.192,0.761,0.047
0.227,0.631,0.142
0.0,1.0,0.0
0.18,0.741,0.079
0.0,1.0,0.0
0.186,0.814,0.0
0.186,0.814,0.0
0.0,1.0,0.0
0.036,0.818,0.147
0.0,0.823,0.177
0.0,1.0,0.0
0.186,0.814,0.0
0.0,1.0,0.0
0.153,0.67,0.177
0.0,0.88,0.12
0.0,1.0,0.0
0.0,1.0,0.0
0.22,0.714,0.065
0.184,0.816,0.0
0.0,0.646,0.354
0.0,1.0,0.0
0.0,1.0,0.0
0.128,0.812,0.06
0.0,0.823,0.177
0.0,0.823,0.177
0.0,1.0,0.0
0.157,0.679,0.163
0.0,1.0,0.0
0.0,0.826,0.174
0.387,0.52,0.092
0.036,0.818,0.147
0.0,0.79,0.21
0.0,0.851,0.149
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.911,0.089
0.0,0.823,0.177
0.157,0.679,0.163
0.0,0.682,0.318
0.115,0.885,0.0
0.0,1.0,0.0
0.091,0.909,0.0
0.0,0.823,0.177
0.33,0.67,0.0
0.0,0.823,0.177
0.1,0.844,0.056
0.211,0.789,0.0
0.045,0.887,0.068
0.135,0.865,0.0
0.036,0.818,0.147
0.036,0.818,0.147
0.0,1.0,0.0
0.036,0.818,0.147
0.372,0.319,0.309
0.157,0.645,0.197
0.071,0.799,0.13
0.0,1.0,0.0
0.036,0.818,0.147
0.0,0.823,0.177
0.0,1.0,0.0
0.0,0.931,0.069
0.036,0.818,0.147
0.0,1.0,0.0
0.0,0.909,0.091
0.382,0.618,0.0
0.0,1.0,0.0
0.372,0.319,0.309
0.0,1.0,0.0
0.186,0.814,0.0
0.102,0.898,0.0
0.074,0.772,0.154
0.0,1.0,0.0
0.118,0.882,0.0
0.0,1.0,0.0
0.04,0.762,0.198
0.184,0.816,0.0
0.0,0.823,0.177
0.416,0.584,0.0
0.062,0.938,0.0
0.0,0.823,0.177
0.157,0.679,0.163
0.337,0.663,0.0
0.0,1.0,0.0
0.0,0.808,0.192
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.918,0.082
0.036,0.818,0.147
0.096,0.854,0.05
0.12,0.83,0.05
0.0,1.0,0.0
0.0,0.886,0.114
0.042,0.925,0.033
0.0,0.823,0.177
0.12,0.83,0.05
0.448,0.303,0.249
0.062,0.864,0.074
0.253,0.747,0.0
0.127,0.749,0.124
0.453,0.547,0.0
0.127,0.749,0.124
0.219,0.781,0.0
0.122,0.654,0.224
0.248,0.621,0.13
0.28,0.72,0.0
0.062,0.884,0.054
0.253,0.596,0.151
0.127,0.749,0.124
0.127,0.749,0.124
0.178,0.822,0.0
0.198,0.802,0.0
0.133,0.717,0.15
0.178,0.822,0.0
0.245,0.755,0.0
0.19,0.81,0.0
0.0,0.95,0.05
0.178,0.822,0.0
0.262,0.738,0.0
0.101,0.751,0.148
0.284,0.67,0.046
0.187,0.813,0.0
0.246,0.754,0.0
0.448,0.303,0.249
0.0,1.0,0.0
0.075,0.925,0.0
0.344,0.656,0.0
0.122,0.522,0.356
0.178,0.822,0.0
0.0,1.0,0.0
0.127,0.749,0.124
0.127,0.749,0.124
0.154,0.593,0.253
0.136,0.717,0.147
0.127,0.749,0.124
0.127,0.749,0.124
0.127,0.749,0.124
0.127,0.749,0.124
0.127,0.749,0.124
0.127,0.749,0.124
0.127,0.749,0.124
0.127,0.749,0.124
0.133,0.717,0.15
0.127,0.749,0.124
0.127,0.749,0.124
0.127,0.749,0.124
0.178,0.822,0.0
0.127,0.749,0.124
0.494,0.506,0.0
0.127,0.749,0.124
0.127,0.749,0.124
0.124,0.876,0.0
0.074,0.926,0.0
0.245,0.755,0.0
0.181,0.75,0.069
0.154,0.593,0.253
0.231,0.769,0.0
0.297,0.703,0.0
0.245,0.755,0.0
0.269,0.731,0.0
0.425,0.575,0.0
0.0,0.813,0.187
0.085,0.565,0.351
0.124,0.876,0.0
0.187,0.813,0.0
0.507,0.493,0.0
0.269,0.661,0.069
0.078,0.741,0.18
0.327,0.673,0.0
0.154,0.65,0.195
0.133,0.717,0.15
0.28,0.72,0.0
0.28,0.72,0.0
0.266,0.693,0.041
0.15,0.673,0.177
0.095,0.739,0.166
0.177,0.766,0.057
0.124,0.764,0.111
0.076,0.877,0.047
0.155,0.755,0.09
0.284,0.67,0.046
0.406,0.594,0.0
0.333,0.667,0.0
0.289,0.711,0.0
0.122,0.522,0.356
0.178,0.822,0.0
0.163,0.625,0.212
0.133,0.717,0.15
0.677,0.323,0.0
0.187,0.813,0.0
0.12,0.644,0.236
0.202,0.798,0.0
0.133,0.717,0.15
0.284,0.67,0.046
0.284,0.67,0.046
0.053,0.892,0.055
0.284,0.67,0.046
0.133,0.717,0.15
0.169,0.779,0.052
0.133,0.717,0.15
0.17,0.575,0.255
0.084,0.864,0.052
0.339,0.476,0.185
0.154,0.593,0.253
0.148,0.72,0.133
0.204,0.524,0.272
0.255,0.616,0.129
0.074,0.805,0.121
0.242,0.64,0.118
0.242,0.64,0.118
0.084,0.735,0.181
0.191,0.693,0.116
0.154,0.65,0.195
0.097,0.844,0.06
0.124,0.764,0.111
0.157,0.646,0.197
0.231,0.769,0.0
0.127,0.749,0.124
0.157,0.644,0.198
0.187,0.813,0.0
0.095,0.905,0.0
0.232,0.633,0.135
0.328,0.575,0.097
0.183,0.751,0.066
0.217,0.723,0.06
0.262,0.738,0.0
0.262,0.738,0.0
0.095,0.905,0.0
0.133,0.717,0.15
0.173,0.774,0.053
0.124,0.764,0.111
0.121,0.557,0.322
0.134,0.692,0.174
0.136,0.762,0.103
0.133,0.717,0.15
0.136,0.762,0.103
0.206,0.794,0.0
0.084,0.579,0.338
0.187,0.813,0.0
0.21,0.659,0.132
0.0,0.758,0.242
0.134,0.692,0.174
0.249,0.591,0.16
0.125,0.607,0.268
0.136,0.762,0.103
0.231,0.769,0.0
0.448,0.303,0.249
0.136,0.762,0.103
0.122,0.522,0.356
0.145,0.855,0.0
0.416,0.422,0.163
0.416,0.422,0.163
0.416,0.422,0.163
0.578,0.422,0.0
0.095,0.829,0.076
0.221,0.588,0.191
0.136,0.762,0.103
0.174,0.758,0.067
0.135,0.865,0.0
0.084,0.864,0.052
0.102,0.838,0.06
